City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Lufilufi,WS,79.57,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
430,Yuanping,CN,63.5,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
431,Podor,MR,89.44,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
432,Fukue,JP,82.06,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
434,Hyeres,FR,83.05,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
435,Acari,PE,68.74,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
436,Howard Springs,AU,67.91,broken clouds,-12.497,131.047,buffalo beach hostel
437,Moerai,PF,73.15,light rain,-22.4333,-151.3333,Le Manotel
438,Ayr,GB,60.78,broken clouds,55.4627,-4.6339,Mercure Ayr Hotel
439,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
440,Manokwari,ID,77.65,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
441,Bara,NG,74.68,broken clouds,10.3744,10.7288,
442,San Vicente,AR,73.54,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
443,Klyuchi,RU,67.14,broken clouds,52.2667,79.1667,Vesolaya Mayovka
444,Konstantinovka,RU,68.09,light rain,49.6167,127.9833,
445,Karimpur,IN,83.61,overcast clouds,23.9667,88.6167,gabrudanga jumma masjid
446,Vangaindrano,MG,65.71,light rain,-23.35,47.6,Hotel Fanilo
447,Kibondo,TZ,70.02,broken clouds,-3.5864,30.7203,Pongezi Annex Guest House
448,Cap Malheureux,MU,69.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
449,Kishorganj,BD,82.9,overcast clouds,24.4333,90.7667,Kishoreganj Resort
451,Bandrele,YT,74.95,clear sky,-12.9067,45.1914,Les Baobabs
453,Mackenzie,CA,88.86,clear sky,55.2999,-123.1698,Hilton Shop
454,Narsaq,GL,61.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
455,Naze,JP,80.6,few clouds,28.3667,129.4833,Shishime Hotel
456,Ngama,TD,79.99,broken clouds,11.7833,17.1667,
457,San Juan De Los Morros,VE,78.76,light rain,9.9115,-67.3538,Hotel La Montaña
459,Rabat,MA,73.47,clear sky,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
460,Hami,CN,86.86,scattered clouds,42.8,93.45,Laoyutang Resort
461,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
462,Dusti,TJ,90.0,clear sky,37.3481,68.664,Hotel Izzat
463,Camana,PE,64.26,clear sky,-16.6228,-72.7111,Hostal Morales
464,Northam,GB,63.61,few clouds,51.0333,-4.2167,Durrant House Hotel
465,Bose,IT,70.88,clear sky,45.4612,8.0137,Locanda Borgo Antico
467,Stanghelle,NO,61.84,few clouds,60.5528,5.7357,Fishing Paradise
468,Tiznit,MA,73.63,clear sky,29.5833,-9.5,
469,Wanning,CN,79.54,scattered clouds,18.8003,110.3967,Paradise Hotel
470,Coahuayana,MX,88.9,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
471,Selikhino,RU,67.26,overcast clouds,50.3672,137.4996,Tosklivyy Dom
472,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
